Date,Open,High,Low,Close,Volume
2026-05-25 14:22:00,77347.74000000,77347.74000000,77344.00000000,77344.00000000,2.53716000
2026-05-25 14:23:00,77344.01000000,77344.01000000,77334.64000000,77334.64000000,1.50067000
2026-05-25 14:24:00,77334.64000000,77343.91000000,77334.64000000,77343.90000000,1.63020000
2026-05-25 14:25:00,77343.91000000,77343.91000000,77329.90000000,77329.90000000,2.67182000
2026-05-25 14:26:00,77329.91000000,77369.15000000,77329.91000000,77338.92000000,6.58977000
2026-05-25 14:27:00,77338.92000000,77338.93000000,77334.00000000,77334.00000000,1.18379000
2026-05-25 14:28:00,77334.00000000,77337.59000000,77332.17000000,77337.58000000,2.31854000
2026-05-25 14:29:00,77337.59000000,77337.59000000,77325.00000000,77334.01000000,6.75932000
2026-05-25 14:30:00,77334.01000000,77343.30000000,77334.01000000,77341.96000000,1.80250000
2026-05-25 14:31:00,77341.97000000,77354.77000000,77341.96000000,77354.76000000,4.81302000
2026-05-25 14:32:00,77354.76000000,77354.77000000,77354.76000000,77354.76000000,0.75069000
2026-05-25 14:33:00,77354.77000000,77364.20000000,77341.96000000,77341.97000000,3.28459000
2026-05-25 14:34:00,77341.97000000,77341.97000000,77323.67000000,77323.67000000,12.90935000
2026-05-25 14:35:00,77323.59000000,77333.34000000,77313.37000000,77333.33000000,2.94223000
2026-05-25 14:36:00,77333.34000000,77346.01000000,77314.69000000,77314.70000000,3.70893000
2026-05-25 14:37:00,77314.70000000,77335.42000000,77314.70000000,77335.41000000,2.36644000
2026-05-25 14:38:00,77335.41000000,77335.42000000,77298.00000000,77315.42000000,4.40728000
2026-05-25 14:39:00,77315.42000000,77339.81000000,77315.41000000,77339.80000000,3.16909000
2026-05-25 14:40:00,77339.80000000,77339.81000000,77320.35000000,77322.67000000,5.42529000
2026-05-25 14:41:00,77322.67000000,77322.67000000,77312.48000000,77315.99000000,2.02399000
2026-05-25 14:42:00,77315.99000000,77323.99000000,77315.99000000,77323.99000000,1.19866000
2026-05-25 14:43:00,77323.99000000,77323.99000000,77322.00000000,77322.01000000,3.31245000
2026-05-25 14:44:00,77322.00000000,77356.31000000,77311.87000000,77356.31000000,19.29899000
2026-05-25 14:45:00,77356.32000000,77359.99000000,77324.01000000,77324.01000000,4.94033000
2026-05-25 14:46:00,77324.02000000,77328.00000000,77324.01000000,77327.99000000,0.65913000
2026-05-25 14:47:00,77328.00000000,77331.61000000,77327.99000000,77328.40000000,0.97190000
2026-05-25 14:48:00,77328.40000000,77328.40000000,77328.39000000,77328.40000000,1.88644000
2026-05-25 14:49:00,77328.40000000,77343.98000000,77328.39000000,77343.98000000,1.34432000
