Date,Open,High,Low,Close,Volume
2025-06-09 02:00:00,105706.34000000,105740.90000000,105427.53000000,105527.71000000,390.41065000
2025-06-09 03:00:00,105527.71000000,105724.76000000,105475.48000000,105560.89000000,237.10673000
2025-06-09 04:00:00,105560.90000000,105700.37000000,105318.37000000,105659.13000000,525.22940000
2025-06-09 05:00:00,105659.14000000,105717.30000000,105428.02000000,105449.21000000,501.62589000
2025-06-09 06:00:00,105449.21000000,105522.87000000,105325.60000000,105379.11000000,319.63601000
2025-06-09 07:00:00,105379.12000000,105692.84000000,105319.00000000,105692.83000000,454.58589000
2025-06-09 08:00:00,105692.84000000,105692.84000000,105500.00000000,105560.71000000,194.49207000
2025-06-09 09:00:00,105560.71000000,105949.09000000,105473.57000000,105926.39000000,461.10180000
2025-06-09 10:00:00,105926.40000000,106888.00000000,105832.00000000,106612.52000000,1140.00074000
2025-06-09 11:00:00,106612.53000000,107464.77000000,106565.30000000,107179.70000000,1524.82298000
2025-06-09 12:00:00,107179.70000000,107806.00000000,107146.18000000,107759.21000000,1299.03104000
2025-06-09 13:00:00,107759.21000000,107990.00000000,107540.22000000,107750.39000000,875.21201000
2025-06-09 14:00:00,107750.39000000,107893.40000000,106860.00000000,107026.47000000,1035.50084000
2025-06-09 15:00:00,107026.48000000,108000.00000000,107026.48000000,107610.33000000,1005.76983000
2025-06-09 16:00:00,107610.32000000,108020.00000000,107522.79000000,107635.91000000,627.93587000
2025-06-09 17:00:00,107635.91000000,108127.16000000,107635.91000000,107697.51000000,895.91837000
2025-06-09 18:00:00,107697.52000000,108422.28000000,107659.35000000,108337.56000000,661.80863000
2025-06-09 19:00:00,108337.57000000,108552.44000000,108284.50000000,108446.18000000,521.19201000
2025-06-09 20:00:00,108446.18000000,108767.24000000,108339.68000000,108564.72000000,610.54706000
2025-06-09 21:00:00,108565.86000000,108736.19000000,108456.08000000,108706.74000000,326.05236000
2025-06-09 22:00:00,108706.74000000,110530.17000000,108706.73000000,109973.75000000,3520.02143000
2025-06-09 23:00:00,109973.74000000,110420.00000000,109734.92000000,110177.28000000,1243.72377000
2025-06-10 00:00:00,110177.28000000,110313.99000000,109866.18000000,110263.02000000,961.34621000
2025-06-10 01:00:00,110263.02000000,110311.82000000,109909.54000000,109913.91000000,893.59303000
2025-06-10 02:00:00,109913.91000000,109953.98000000,109648.29000000,109788.57000000,524.96936000
2025-06-10 03:00:00,109788.58000000,109788.58000000,109381.24000000,109650.94000000,568.91009000
2025-06-10 04:00:00,109650.95000000,109684.89000000,109382.38000000,109568.02000000,369.14727000
2025-06-10 05:00:00,109568.03000000,109649.98000000,109366.00000000,109528.55000000,369.49008000
2025-06-10 06:00:00,109528.55000000,109737.68000000,109200.00000000,109310.49000000,529.37516000
2025-06-10 07:00:00,109310.49000000,109650.00000000,109161.00000000,109502.68000000,427.51687000
2025-06-10 08:00:00,109502.69000000,109517.16000000,109095.67000000,109205.14000000,990.69176000
2025-06-10 09:00:00,109205.14000000,109415.10000000,109056.90000000,109082.65000000,522.59315000
2025-06-10 10:00:00,109082.65000000,109521.84000000,109065.14000000,109508.78000000,615.65872000
2025-06-10 11:00:00,109508.78000000,109573.30000000,109275.43000000,109303.61000000,324.81871000
2025-06-10 12:00:00,109303.61000000,109851.80000000,109199.81000000,109541.28000000,881.83399000
2025-06-10 13:00:00,109541.93000000,109700.00000000,109415.62000000,109697.76000000,554.16291000
2025-06-10 14:00:00,109697.75000000,109900.81000000,108888.88000000,109305.28000000,1408.66380000
