Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26
2026-05-25 14:22:00,77347.74,77347.74,77344.0,77344.0,2.53716,,,77344.0,77344.0
2026-05-25 14:23:00,77344.01,77344.01,77334.64,77334.64,1.50067,,,77342.56,77343.30666666667
2026-05-25 14:24:00,77334.64,77343.91,77334.64,77343.9,1.6302,,,77342.76615384614,77343.35061728396
2026-05-25 14:25:00,77343.91,77343.91,77329.9,77329.9,2.67182,,,77340.78674556212,77342.35427526291
2026-05-25 14:26:00,77329.91,77369.15,77329.91,77338.92,6.58977,,,77340.49955393717,77342.0998845027
2026-05-25 14:27:00,77338.92,77338.93,77334.0,77334.0,1.18379,,,77339.49962256223,77341.49989305806
2026-05-25 14:28:00,77334.0,77337.59,77332.17,77337.58,2.31854,,,77339.2042960142,77341.20953060931
2026-05-25 14:29:00,77337.59,77337.59,77325.0,77334.01,6.75932,,,77338.40517355048,77340.67623204566
2026-05-25 14:30:00,77334.01,77343.3,77334.01,77341.96,1.8025,,,77338.95206992733,77340.7713259682
2026-05-25 14:31:00,77341.97,77354.77,77341.96,77354.76,4.81302,,,77341.38405916927,77341.80752404465
2026-05-25 14:32:00,77354.76,77354.77,77354.76,77354.76,0.75069,,,77343.44189622016,77342.76696670802
2026-05-25 14:33:00,77354.77,77364.2,77341.96,77341.97,3.28459,,,77343.21545064783,77342.70793213705
2026-05-25 14:34:00,77341.97,77341.97,77323.67,77323.67,12.90935,,,77340.20845824046,77341.29771494171
2026-05-25 14:35:00,77323.59,77333.34,77313.37,77333.33,2.94223,,,77339.15023389578,77340.70751383492
2026-05-25 14:36:00,77333.34,77346.01,77314.69,77314.7,3.70893,,,77335.38865945028,77338.78103132863
2026-05-25 14:37:00,77314.7,77335.42,77314.7,77335.41,2.36644,,,77335.39194261178,77338.5313253043
2026-05-25 14:38:00,77335.41,77335.42,77298.0,77315.42,4.40728,,,77332.31933605613,77336.81937528176
2026-05-25 14:39:00,77315.42,77339.81,77315.41,77339.8,3.16909,,,77333.47020743211,77337.04016229793
2026-05-25 14:40:00,77339.8,77339.81,77320.35,77322.67,5.42529,,,77331.80863705794,77335.97570583141
2026-05-25 14:41:00,77322.67,77322.67,77312.48,77315.99,2.02399,77334.5695,,77329.37500058749,77334.49528317724
2026-05-25 14:42:00,77315.99,77323.99,77315.99,77323.99,1.19866,77333.56899999999,,77328.54653895865,77333.71711405301
2026-05-25 14:43:00,77323.99,77323.99,77322.0,77322.01,3.31245,77332.9375,,77327.5409175804,77332.84992041947
2026-05-25 14:44:00,77322.0,77356.31,77311.87,77356.31,19.29899,77333.55799999999,,77331.96693026033,77334.58770409209
2026-05-25 14:45:00,77356.32,77359.99,77324.01,77324.01,4.94033,77333.2635,,77330.74278714335,77333.80417045564
2026-05-25 14:46:00,77324.02,77328.0,77324.01,77327.99,0.65913,77332.717,,77330.31928142898,77333.37349116262
2026-05-25 14:47:00,77328.0,77331.61,77327.99,77328.4,0.9719,77332.43699999999,,77330.02400736298,77333.00508440983
2026-05-25 14:48:00,77328.4,77328.4,77328.39,77328.4,1.88644,77331.978,,77329.77416007637,77332.66396704614
2026-05-25 14:49:00,77328.4,77343.98,77328.39,77343.98,1.34432,77332.4765,,77331.95967391078,77333.5021917094
2026-05-25 14:50:00,77343.98,77349.08,77343.97,77346.7,2.88963,77332.7135,,77334.22741638604,77334.47980713833
2026-05-25 14:51:00,77346.7,77346.7,77310.07,77314.0,3.07325,77330.6755,,77331.1155061728,77332.96278438735
2026-05-25 14:52:00,77314.0,77316.01,77314.0,77316.01,1.07543,77328.738,,77328.79158214622,77331.70702258087
2026-05-25 14:53:00,77316.01,77346.99,77316.0,77338.01,4.25478,77328.54000000001,,77330.20980027757,77332.1739097971
2026-05-25 14:54:00,77338.01,77350.0,77333.44,77346.71,4.12319,77329.692,,77332.74829254256,77333.25065721953
2026-05-25 14:55:00,77346.71,77350.0,77345.27,77345.28,2.3489,77330.2895,,77334.676247536,77334.14171964771
2026-05-25 14:56:00,77345.27,77350.0,77343.99,77344.0,5.09693,77331.7545,,77336.110670992,77334.87196263677
2026-05-25 14:57:00,77344.0,77344.0,77334.0,77334.01,0.81216,77331.6845,,77335.78749083939,77334.80811355257
2026-05-25 14:58:00,77334.01,77334.01,77334.0,77334.0,1.25769,77332.6135,,77335.51249224872,77334.7482532894
2026-05-25 14:59:00,77334.01,77342.14,77334.0,77341.05,1.24819,77332.676,,77336.36441651815,77335.21504934203
2026-05-25 15:00:00,77341.05,77341.05,77329.05,77329.36,1.59374,77333.0105,,77335.2868139769,77334.78134198337
2026-05-25 15:01:00,77329.36,77329.37,77328.99,77328.99,2.09288,77333.6605,,77334.31807336507,77334.3523536883
2026-05-25 15:02:00,77328.99,77329.0,77304.84,77316.15,10.90388,77333.2685,,77331.52298515505,77333.00403119288
2026-05-25 15:03:00,77316.15,77350.0,77316.15,77339.69,3.37489,77334.1525,,77332.77944897735,77333.49928814155
2026-05-25 15:04:00,77339.69,77443.01,77339.69,77442.96,21.10597,77338.485,,77349.73030298084,77341.60748901995
2026-05-25 15:05:00,77442.96,77500.0,77432.11,77492.0,9.70392,77346.8845,,77371.6179486761,77352.74767501847
2026-05-25 15:06:00,77492.01,77524.01,77442.04,77442.05,18.1741,77352.5875,,77382.45364887977,77359.36266205415
2026-05-25 15:07:00,77442.05,77473.53,77442.04,77473.53,13.58351,77359.84400000001,,77396.46539520596,77367.81950190199
2026-05-25 15:08:00,77473.53,77495.03,77464.57,77495.03,4.31823,77368.1755,,77411.6291805589,77377.24250176111
2026-05-25 15:09:00,77495.03,77495.03,77461.18,77472.8,5.47789,77374.6165,,77421.04007585754,77384.32083496399
2026-05-25 15:10:00,77472.8,77509.18,77466.01,77509.17,8.98797,77382.74,,77434.59852572561,77393.56892126295
